Cell Type	TF/DNase/HistoneMark	Treatment	DeepSEA ROC AUC	DanQ ROC AUC	DanQ-JASPAR ROC AUC	DeepSEA PR AUC	DanQ PR AUC	DanQ-JASPAR PR AUC
GM12892	Pol2-4H8	None	0.899228266	0.906943281	0.9068974691	0.3082094965	0.3341591964	0.3377448163
GM12892	Pol2	None	0.930859483	0.9353026743	0.9344052442	0.4493677779	0.4783926554	0.4780984708
GM12892	TAF1	None	0.970675427	0.9737780927	0.9750309546	0.3888536642	0.4187896969	0.4405132202
GM12892	YY1	None	0.954630578	0.9619970517	0.9589830655	0.3429711745	0.3750428505	0.3683852164
H1-hESC	ATF2	None	0.914795823	0.9368482221	0.9449290507	0.11430116	0.1460018314	0.1548320541
H1-hESC	ATF3	None	0.982504366	0.9869583832	0.9879195085	0.2733466691	0.3494076266	0.3513156571
H1-hESC	BCL11A	None	0.940037271	0.9561607131	0.9671266945	0.0673760091	0.1063478549	0.1542592364
H1-hESC	CTCF	None	0.983673756	0.9866620088	0.9878663054	0.5912212261	0.6318271747	0.6441338247
H1-hESC	Egr-1	None	0.953604242	0.9597357964	0.9624300411	0.1623174572	0.184926903	0.1823215617
H1-hESC	FOSL1	None	0.937050394	0.9395333561	0.9414613865	0.0258085095	0.025401472	0.0290483918
H1-hESC	GABP	None	0.98281473	0.9864028797	0.9855950259	0.3442922395	0.3880918685	0.3931281162
H1-hESC	HDAC2	None	0.948779038	0.9586092875	0.9680401901	0.0668142747	0.1008334063	0.1175927477
H1-hESC	JunD	None	0.957098716	0.9642650237	0.968462805	0.1668331466	0.2118655214	0.2230956277
H1-hESC	NANOG	None	0.930438563	0.9415615003	0.9620653198	0.0738693862	0.1100891083	0.1667331474
H1-hESC	NRSF	None	0.952885124	0.922498624	0.9326753672	0.4428276858	0.370143416	0.4009775729
H1-hESC	p300	None	0.940837667	0.9532142954	0.9636637423	0.1360969316	0.176543707	0.2023147669
H1-hESC	Pol2-4H8	None	0.90698199	0.9140409662	0.9175040938	0.3089698853	0.3239217936	0.3255906285
H1-hESC	Pol2	None	0.936257213	0.9429938763	0.9447009015	0.4972371445	0.5105718007	0.5118825048
H1-hESC	POU5F1	None	0.94708764	0.9527541485	0.9699815165	0.1012301303	0.1497462237	0.2359797116
H1-hESC	Rad21	None	0.974008375	0.9795066112	0.9819361964	0.6624543612	0.7029845522	0.7138230725
H1-hESC	RXRA	None	0.956119035	0.9684214011	0.9720137373	0.0195073535	0.0293180491	0.0313414463
H1-hESC	Sin3Ak-20	None	0.957022324	0.9638000606	0.9695904431	0.2032544779	0.2286356348	0.2366071726
H1-hESC	SIX5	None	0.955924198	0.9723195295	0.9718700506	0.2870435449	0.469140595	0.4408596668
H1-hESC	SP1	None	0.93694478	0.9468154701	0.9532997302	0.233113743	0.2762345923	0.2975049915
H1-hESC	SP2	None	0.971738645	0.9683538751	0.9695642634	0.2276379997	0.2826467581	0.2642805945
H1-hESC	SP4	None	0.974701339	0.9757572735	0.9779733446	0.2883646038	0.3119982721	0.3121792138
H1-hESC	SRF	None	0.874915349	0.8896656717	0.8917022173	0.0793087334	0.1132099945	0.1117309073
H1-hESC	TAF1	None	0.975171221	0.9786042729	0.9796099719	0.5247012617	0.5449373105	0.5520732027
H1-hESC	TAF7	None	0.958718248	0.9651535151	0.9677382445	0.316933269	0.3495375822	0.356294002
H1-hESC	TCF12	None	0.94269021	0.9543157436	0.9646693752	0.1138852714	0.1692861124	0.2151014137
H1-hESC	TEAD4	None	0.946155967	0.9546726682	0.9583895647	0.2208444389	0.2674330015	0.2751128757
H1-hESC	USF1	None	0.976938955	0.9786663234	0.9825068289	0.44260659	0.4875125505	0.5059860099
H1-hESC	YY1	None	0.955840635	0.9630946657	0.9661859932	0.3197877876	0.360491089	0.3514997523
HCT-116	Pol2-4H8	None	0.904003718	0.9135019835	0.9152648306	0.4208146406	0.4479476946	0.4492155244
HCT-116	YY1	None	0.966481725	0.968814438	0.9696686704	0.3088576714	0.3528384273	0.3451717667
HCT-116	ZBTB33	None	0.961492995	0.9672737402	0.9694169269	0.1716541648	0.2045846457	0.2192087617
HeLa-S3	GABP	None	0.982048618	0.9841824284	0.9831439957	0.4157367763	0.4641053124	0.4552553625
HeLa-S3	NRSF	None	0.940969855	0.9170494829	0.9237384739	0.3570522259	0.3466580641	0.3540489934
HeLa-S3	Pol2	None	0.910957167	0.9208174738	0.9195818662	0.4783268376	0.496106993	0.4970863478
HeLa-S3	TAF1	None	0.95272497	0.9571752254	0.9570508226	0.3628497046	0.383000623	0.3839948442
HepG2	ATF3	None	0.984173628	0.9853375695	0.986407746	0.2332904948	0.2950734391	0.2867631156
HepG2	BHLHE40	None	0.970076098	0.9726726567	0.97638331	0.1010812133	0.1401786256	0.1478950879
HepG2	CEBPB	None	0.97629226	0.9798983376	0.9830245299	0.2960548151	0.3298919553	0.3579400959
HepG2	CEBPD	None	0.971372911	0.9734531173	0.9752810434	0.1995865581	0.2273294418	0.244530596
HepG2	CTCF	None	0.986842904	0.9894502401	0.9902877165	0.6384822147	0.6682747916	0.6744760844
HepG2	ELF1	None	0.965702763	0.968509434	0.9735853323	0.3580461342	0.3882699188	0.4009475303
HepG2	FOSL2	None	0.95448315	0.9577394921	0.9594462676	0.3106102447	0.3281569807	0.3472836878
HepG2	FOXA1	None	0.944196728	0.9479972942	0.955602655	0.3410689103	0.3655986265	0.4002072025
HepG2	FOXA1	None	0.943532165	0.9474185875	0.9559726508	0.3730164239	0.3986251809	0.4430068709
HepG2	FOXA2	None	0.943101921	0.9496773275	0.9571483424	0.328173443	0.3550117913	0.392062381
HepG2	GABP	None	0.988331069	0.9889153843	0.989334857	0.5615857258	0.6146950796	0.6134919602
HepG2	HDAC2	None	0.937250962	0.9427759817	0.9545955076	0.1721660298	0.1939871298	0.2275163864
HepG2	HNF4A	None	0.962022049	0.9677974205	0.9724958555	0.2630983553	0.3226134119	0.3389676585
HepG2	HNF4G	None	0.954636203	0.964082586	0.9663509468	0.2526675933	0.3135248965	0.3357531316
HepG2	JunD	None	0.955196962	0.9580064168	0.9611587191	0.2614049025	0.2746839327	0.3004667806
HepG2	MBD4	None	0.916877278	0.9243278149	0.9326562758	0.080176469	0.1018035969	0.1243221058
HepG2	MYBL2	None	0.908103887	0.916692844	0.9291954649	0.1958640078	0.2221842949	0.2472900406
HepG2	NFIC	None	0.908727988	0.9198669882	0.9340149391	0.1669846481	0.2000157659	0.2308869644
HepG2	NRSF	None	0.984887604	0.9730258606	0.9773479201	0.4743190962	0.4594240085	0.4814851252
HepG2	NRSF	None	0.953006243	0.952145282	0.9534019969	0.3508334727	0.3997471575	0.4030209028
HepG2	p300	None	0.932979836	0.9334264124	0.9462499317	0.2306318915	0.2441792544	0.2794539026
HepG2	Pol2-4H8	None	0.908404142	0.917114166	0.9212209018	0.3929313058	0.427557353	0.4299585869
HepG2	Pol2	None	0.948906184	0.9520784028	0.9540168787	0.5067501397	0.5304835663	0.536508853
HepG2	Rad21	None	0.976796245	0.9817102762	0.9834068178	0.6041747227	0.6430259741	0.6503722257
HepG2	RXRA	None	0.942017622	0.9439449016	0.9523221354	0.1882529823	0.1931508812	0.2225834428
HepG2	Sin3Ak-20	None	0.950666732	0.9530346247	0.9580219341	0.3145083628	0.3323794457	0.3466209382
HepG2	SP1	None	0.942727504	0.9457528152	0.9567566297	0.2723298678	0.2981141925	0.3376637027
HepG2	SP2	None	0.991742099	0.9764715457	0.9844073894	0.3101412898	0.3469494172	0.3391759718
HepG2	SRF	None	0.853729196	0.8830707385	0.8943369262	0.0388119002	0.0488461242	0.0471176518
HepG2	TAF1	None	0.986033679	0.9877858688	0.988767402	0.5628536055	0.58585271	0.5970603703
HepG2	TCF12	None	0.977847001	0.976825683	0.979742224	0.0672963554	0.0756261759	0.0876948977
HepG2	TEAD4	None	0.911202801	0.9181630611	0.9303326364	0.1318960115	0.1611364597	0.1815966655
HepG2	USF1	None	0.982911581	0.9838251012	0.9861459923	0.3881287745	0.4287163717	0.4478367039
HepG2	YY1	None	0.967588379	0.9728953179	0.9727784545	0.4482513983	0.4723309152	0.4722563246
HepG2	ZBTB33	None	0.954026245	0.9651302502	0.9661387087	0.0790686198	0.1174764704	0.125552766
HepG2	ZBTB7A	None	0.967724078	0.9738842641	0.971904114	0.1376572052	0.1808411338	0.1639986248
HUVEC	Pol2-4H8	None	0.918693054	0.9247237765	0.9273973263	0.3771773874	0.3946793551	0.4033486662
HUVEC	Pol2	None	0.926147666	0.931827469	0.9315142585	0.4084871564	0.4306684059	0.4264381328
K562	ATF3	None	0.966515758	0.9721638341	0.9730587549	0.2484379299	0.2857303607	0.2748678079
K562	BCL3	None	0.946783024	0.9554450659	0.9459470353	0.0553591435	0.1088576622	0.1052386966
K562	BCLAF1	None	0.951982546	0.959141183	0.9578337446	0.1165703659	0.1640285273	0.1541963317
K562	CBX3	None	0.867518233	0.884903249	0.8885686063	0.1352866583	0.1621216082	0.173981456
K562	CEBPB	None	0.945297111	0.9551490026	0.9572510168	0.2332564112	0.2803514876	0.288073354
K562	CTCF	None	0.983784131	0.985872524	0.987293719	0.6036741685	0.6288561897	0.6390566875
K562	CTCFL	None	0.989923324	0.9910625988	0.99129723	0.286065903	0.3366369385	0.3419942188
K562	E2F6	None	0.963235911	0.9671991791	0.9669198194	0.3782305504	0.4041660108	0.3954799839
K562	Egr-1	None	0.93145635	0.9367165694	0.9443809755	0.2727619812	0.2930985012	0.3094456794
K562	ELF1	None	0.958270991	0.9640659832	0.9660217553	0.3942231784	0.4250538938	0.4269535615
K562	ETS1	None	0.974433524	0.97967719	0.9794087519	0.3349948468	0.392435143	0.3911718881
K562	FOSL1	None	0.977913227	0.9800456704	0.9802582471	0.3002657032	0.2978205212	0.2975684573
K562	GABP	None	0.970624016	0.9756290883	0.9767580527	0.4303230006	0.4910304276	0.4819384429
K562	GATA2	None	0.958298093	0.9609016971	0.9641431613	0.2556532661	0.2720793142	0.2954446842
K562	HDAC2	None	0.946921693	0.9534719242	0.9521795671	0.1008028612	0.1208685547	0.1217277902
K562	Max	None	0.946450203	0.9540627812	0.9542279027	0.442044106	0.4794807215	0.4799725743
K562	MEF2A	None	0.916608232	0.9186269631	0.9442410221	0.0486008006	0.0568499064	0.0788917835
K562	NR2F2	None	0.920975477	0.921977789	0.9310641277	0.170702367	0.1788581076	0.1977491139
K562	NRSF	None	0.950617333	0.9362099268	0.946081271	0.2874978746	0.2976296301	0.3102825777
K562	PML	None	0.942659129	0.9482534278	0.9508857186	0.3120154544	0.3411815633	0.3538273612
K562	Pol2-4H8	None	0.931789038	0.9394680345	0.9427374744	0.3381259817	0.3724464404	0.3800195724
K562	Pol2	None	0.951292087	0.9573202711	0.9566508143	0.5694093985	0.5941370556	0.5923720289
K562	PU.1	None	0.967879614	0.9695063651	0.9705452213	0.2723484948	0.2956476248	0.30876616
K562	Rad21	None	0.987508717	0.9897809471	0.990494482	0.5604969249	0.5879629984	0.6031421351
K562	Sin3Ak-20	None	0.973752096	0.9752788312	0.9744663253	0.286774099	0.3147911583	0.3197958986
K562	SIX5	None	0.991661661	0.992597429	0.9927044313	0.4014411066	0.5278058844	0.5178885508
K562	SP1	None	0.972705412	0.9766417759	0.9754055002	0.2705344424	0.3052179829	0.3057602634
K562	SP2	None	0.991181539	0.990315691	0.9887350186	0.325415287	0.3979500619	0.3665750428
K562	SRF	None	0.914001353	0.9274252752	0.9214355933	0.0895806469	0.1140080435	0.110218537
K562	STAT5A	None	0.948215404	0.9554148261	0.9618986289	0.1697467004	0.2053742136	0.2352125441
K562	TAF1	None	0.973415421	0.9760487589	0.9770781498	0.4397489265	0.4773975598	0.4745565971
K562	TAF7	None	0.890440546	0.9002221892	0.8967684085	0.0646282247	0.0876667369	0.0898538039
K562	TEAD4	None	0.922597989	0.9281418359	0.9352835744	0.2557320977	0.2724623556	0.3005842979
K562	THAP1	None	0.985768313	0.9870756199	0.9872178469	0.1912092913	0.2038986038	0.2239311866
K562	TRIM28	None	0.916828143	0.9255093875	0.931864418	0.1365893287	0.1702169565	0.1924764785
K562	USF1	None	0.974563686	0.9784236299	0.980118877	0.3730212095	0.4043807529	0.410338512
K562	YY1	None	0.983002327	0.9854776025	0.9856071218	0.4249507699	0.4591471573	0.4500335383
K562	YY1	None	0.957374991	0.9615162959	0.9618907144	0.3688559756	0.3818059706	0.3833951744
K562	ZBTB33	None	0.95579861	0.9655289978	0.965171869	0.0635043277	0.1179764305	0.1382449256
K562	ZBTB7A	None	0.970400592	0.9729512323	0.9725393711	0.3732385345	0.4183472309	0.4070665878
PANC-1	NRSF	None	0.975145248	0.9662209715	0.9706774866	0.4055904944	0.4254288586	0.4336422232
PANC-1	Pol2-4H8	None	0.928962738	0.9367444641	0.9400506563	0.1695854082	0.1862793916	0.1884898743
PANC-1	Sin3Ak-20	None	0.98032654	0.9828703892	0.9836137727	0.1696981438	0.1797628867	0.18866366
PFSK-1	FOXP2	None	0.962361693	0.9660926119	0.9685787597	0.3299423229	0.3498613614	0.3634783447
PFSK-1	NRSF	None	0.935109016	0.9084583717	0.9189211229	0.352803205	0.3326201837	0.3530935108
PFSK-1	Sin3Ak-20	None	0.93017281	0.9386223412	0.94050771	0.0798899517	0.0937313141	0.0907111984
PFSK-1	TAF1	None	0.922334826	0.932479034	0.9363289499	0.21673075	0.2511980678	0.2535121772
SK-N-MC	FOXP2	None	0.910221709	0.9229915871	0.9271757569	0.2324645568	0.2663238013	0.271994269
SK-N-MC	Pol2-4H8	None	0.907063492	0.922659045	0.9277382769	0.2609754838	0.3171721568	0.3212749626
SK-N-SH	NRSF	None	0.957974346	0.9620247382	0.9646742073	0.2922922953	0.3503163541	0.3581043185
SK-N-SH	NRSF	None	0.959115812	0.9490695495	0.9563363723	0.2844833024	0.3130052409	0.3202903988
SK-N-SH	Pol2-4H8	None	0.901610066	0.9112461973	0.9169266514	0.3011309921	0.3228061757	0.3317004972
SK-N-SH_RA	CTCF	None	0.991020275	0.9925112453	0.993109771	0.6051194637	0.6567849142	0.6558767904
SK-N-SH_RA	p300	None	0.891925063	0.9021498795	0.9129219219	0.2221561078	0.2482990118	0.2811973026
SK-N-SH_RA	Rad21	None	0.958137666	0.9654464768	0.968358229	0.544030423	0.583184878	0.5952788994
SK-N-SH_RA	USF1	None	0.97806443	0.9803033507	0.9818530175	0.3889709427	0.4281967261	0.4328321062
SK-N-SH_RA	YY1	None	0.944735901	0.9526772207	0.9532393437	0.3018505231	0.3336284479	0.3250784593
SK-N-SH	Sin3Ak-20	None	0.946856187	0.9499456797	0.9516528677	0.2881952312	0.2975122269	0.3020643052
SK-N-SH	TAF1	None	0.968996752	0.9710532092	0.9740312141	0.4096547227	0.4396124184	0.4493194084
T-47D	CTCF	DMSO_0.02pct	0.987168417	0.989672474	0.9902873531	0.6688819076	0.7066353615	0.7044341238
T-47D	ERalpha	BPA_100nM	0.895361686	0.8928562875	0.9318265709	0.0301599999	0.032850466	0.0631459576
T-47D	ERalpha	Genistein_100nM	0.877178508	0.8762248817	0.9077456616	0.0642349674	0.0756844733	0.1102756375
T-47D	ERalpha	Estradiol_10nM	0.877228411	0.8769052904	0.9076118656	0.0638402657	0.0757606477	0.1085298334
T-47D	FOXA1	DMSO_0.02pct	0.91807632	0.9285201721	0.9350478333	0.2447470384	0.286568245	0.3120955676
T-47D	GATA3	DMSO_0.02pct	0.864564285	0.8705376135	0.879725744	0.1495396195	0.1672782512	0.1855924799
T-47D	p300	DMSO_0.02pct	0.882579323	0.9046639173	0.911042115	0.100503896	0.1281163987	0.1416627291
U87	NRSF	None	0.977759226	0.9751771461	0.9774293797	0.3988980674	0.442989008	0.455183631
U87	Pol2-4H8	None	0.916523037	0.9245304476	0.9254428519	0.3458986732	0.3711992009	0.3731753762
A549	BHLHE40	None	0.958361915	0.9628913734	0.9611578511	0.1239080485	0.1620875684	0.1723714816
A549	CEBPB	None	0.971565265	0.9744582046	0.9754643281	0.4907546392	0.5156231971	0.5227081586
A549	Max	None	0.970096237	0.9754088659	0.9747158017	0.314981117	0.3529522611	0.3620171368
A549	Pol2(phosphoS2)	None	0.663888085	0.6974486873	0.7123312742	0.0084924559	0.0106617549	0.0111984691
A549	Rad21	None	0.988579197	0.9904369263	0.9907646878	0.6365909802	0.6789528243	0.6875560307
GM08714	ZNF274	None	0.972015609	0.9721406481	0.9778215127	0.5178691056	0.577759454	0.5665969252
GM10847	NFKB	TNFa	0.951498795	0.9528794929	0.9566706116	0.1596064538	0.2030075943	0.2108233533
GM10847	Pol2	None	0.991693325	0.9916603977	0.9909112535	0.5294120967	0.5760412503	0.5761552344
GM12878	BHLHE40	None	0.944348841	0.9490013827	0.9547896043	0.2204954172	0.2329333001	0.2558359133
GM12878	BRCA1	None	0.997287365	0.9976887085	0.9976343205	0.0575293557	0.156831512	0.2086819655
GM12878	c-Fos	None	0.988763616	0.9920844732	0.9918623898	0.4086685815	0.4285958845	0.4554074146
GM12878	CHD1	None	0.888391109	0.8925588265	0.8910353905	0.0705529056	0.0776158379	0.0799401582
GM12878	CHD2	None	0.942040607	0.9444981241	0.9499855718	0.2989824922	0.3265784711	0.3428206794
GM12878	COREST	None	0.960820639	0.9698412098	0.9717532102	0.0523036476	0.079914393	0.0802887235
GM12878	CTCF	None	0.979011087	0.9840308561	0.9850540848	0.5499689112	0.6069305147	0.6184375267
GM12878	E2F4	None	0.970666767	0.9761846959	0.9745794096	0.1961313594	0.2310114598	0.2186653604
GM12878	EBF1	None	0.892538354	0.9266219751	0.9286584045	0.187258841	0.2907553325	0.2965776912
GM12878	ELK1	None	0.965664017	0.9674143397	0.9681504459	0.404357562	0.4367006564	0.4321749902
GM12878	IKZF1	None	0.923745016	0.9295752387	0.933616055	0.1334705724	0.1471858172	0.1628663396
GM12878	JunD	None	0.966194552	0.9719814817	0.9762383299	0.1016885358	0.1198933822	0.1386802665
GM12878	Max	None	0.957453008	0.9590169974	0.9617199005	0.3424415077	0.3752422524	0.3767462842
GM12878	MAZ	None	0.951987599	0.9550698848	0.958207404	0.4059345745	0.4359519567	0.4461413565
GM12878	Mxi1	None	0.939281483	0.943380586	0.943988237	0.3382483259	0.3680957645	0.3651069178
GM12878	NF-E2	None	0.985723035	0.989221985	0.9898800254	0.3453461211	0.432098025	0.4194995723
GM12878	NFKB	TNFa	0.939836519	0.9410918647	0.9456719595	0.2170273763	0.2397213541	0.2528069901
GM12878	NF-YA	None	0.987151504	0.9866589996	0.9895264832	0.4052235139	0.4643453868	0.4839805224
GM12878	NF-YB	None	0.953241064	0.9591166541	0.9602819436	0.4111414119	0.4578999617	0.4542969165
GM12878	Nrf1	None	0.987961857	0.991582287	0.990430398	0.4514471688	0.5274658782	0.5167792949
GM12878	p300	None	0.959971103	0.960545921	0.967295692	0.149608807	0.1664059666	0.1941345453
GM12878	p300	None	0.931861711	0.9306409618	0.9406473446	0.2056752218	0.2142406298	0.2481324177
GM12878	Pol2	None	0.919500854	0.9212813946	0.9208844573	0.3834909452	0.4022568126	0.40810318
GM12878	Pol2(phosphoS2)	None	0.924078021	0.9271725698	0.9249840707	0.3403140703	0.37146931	0.3654875734
GM12878	Pol2	None	0.96813096	0.9694441414	0.9692944746	0.4034917103	0.4309952899	0.4273513005
GM12878	Pol3	None	0.942061887	0.9867335502	0.9623137445	9.53E-005	0.0037484529	0.0001098919
GM12878	Rad21	None	0.979247993	0.983166793	0.9844200608	0.5944255049	0.6355415533	0.6446807255
GM12878	RFX5	None	0.921216659	0.9336516692	0.9379358583	0.2088979125	0.2308818899	0.2460282498
GM12878	SIN3A	None	0.950010504	0.9544582322	0.953165641	0.3272046502	0.35371216	0.3473436429
GM12878	SMC3	None	0.977133874	0.9792136824	0.9801736763	0.6669760629	0.6983036203	0.7045337821
GM12878	STAT1	None	0.925506337	0.9259664392	0.9330128638	0.0622603416	0.057410479	0.0584752095
GM12878	STAT3	None	0.911616503	0.919094302	0.922780706	0.086468066	0.0961130876	0.095655996
GM12878	TBLR1	None	0.927338626	0.9313030945	0.9372081571	0.1834184053	0.2023151467	0.2138062823
GM12878	TBP	None	0.911404453	0.9132139835	0.917221013	0.220134142	0.2360317734	0.2432075699
GM12878	TR4	None	0.962338054	0.9663422149	0.9625883897	0.1450253066	0.1442411779	0.1368235146
GM12878	USF2	None	0.973089523	0.9763835216	0.9780786865	0.324565079	0.3621034369	0.3733885519
GM12878	WHIP	None	0.871817325	0.8803175014	0.8799191054	0.1004774159	0.1191010557	0.1192643185
GM12878	YY1	None	0.926697195	0.9331938847	0.9276689666	0.0743555715	0.0891445487	0.0897463169
GM12878	Znf143	None	0.982639769	0.9878181318	0.9884064521	0.6167990015	0.668861718	0.669663005
GM12878	ZNF274	None	0.706886447	0.7412895001	0.7656852358	0.0018856182	0.0291676899	0.0269677594
GM12878	ZZZ3	None	0.908275757	0.9318954798	0.9377596725	0.0339956562	0.1252520171	0.0773120828
GM12891	NFKB	TNFa	0.93821577	0.942286792	0.9481327735	0.297770668	0.329406904	0.3553336475
GM12891	Pol2	None	0.924227214	0.9282791878	0.925939815	0.37161083	0.4011183169	0.3986571712
GM12892	NFKB	TNFa	0.95623254	0.9577323395	0.9624050789	0.1681099067	0.2130798946	0.227921733
GM12892	Pol2	None	0.948067411	0.9498654293	0.9502086953	0.4806571069	0.5040437053	0.5095692331
GM15510	NFKB	TNFa	0.948288218	0.9527039123	0.9552836504	0.2631774513	0.2896409651	0.3068732393
GM15510	Pol2	None	0.974398294	0.9746445937	0.9759299805	0.593161713	0.6159501318	0.6218546852
GM18505	NFKB	TNFa	0.943585332	0.9440786525	0.9482653621	0.1562811151	0.1955714226	0.2110601172
GM18505	Pol2	None	0.93632009	0.9399577842	0.9397525117	0.4406089736	0.4609616308	0.4619846299
GM18526	NFKB	TNFa	0.958548139	0.9590482379	0.9669919686	0.074905123	0.1082382796	0.1116057632
GM18526	Pol2	None	0.975301099	0.9756104858	0.9761219528	0.5479445821	0.5752779268	0.5781913692
GM18951	NFKB	TNFa	0.941896065	0.9433104112	0.9506112343	0.1982900321	0.2277260139	0.2434876616
GM18951	Pol2	None	0.96602387	0.967690973	0.9678068719	0.5959859467	0.6145268512	0.6168810033
GM19099	NFKB	TNFa	0.959763371	0.9581351495	0.965568454	0.1636351184	0.2022076714	0.2130808888
GM19099	Pol2	None	0.948350092	0.9512310719	0.9506952167	0.4737021424	0.5013811863	0.5020881638
GM19193	NFKB	TNFa	0.967053845	0.9646108733	0.9711412081	0.1411869233	0.1892265809	0.197227612
GM19193	Pol2	None	0.957867377	0.9596919733	0.959463632	0.5155114851	0.5359780333	0.5360236388
H1-hESC	Bach1	None	0.952436603	0.955696693	0.9668872042	0.2039066275	0.2371177632	0.2756690509
H1-hESC	BRCA1	None	0.950789565	0.9523023422	0.9707970543	0.0862294044	0.1131974161	0.1475533905
H1-hESC	CEBPB	None	0.973389416	0.9805334329	0.9814236126	0.3279828933	0.4360858677	0.4156381053
H1-hESC	CHD1	None	0.94649488	0.9519094994	0.9496743383	0.0598169768	0.0640012708	0.0524086532
H1-hESC	CHD2	None	0.967552972	0.9730314159	0.9792090164	0.2551693801	0.2795655476	0.2944515603
H1-hESC	c-Jun	None	0.960741366	0.9718025676	0.9759024382	0.0995249894	0.1970710245	0.2195003864
H1-hESC	c-Myc	None	0.971816478	0.981301879	0.9813202619	0.1766529477	0.2108506255	0.2230572683
H1-hESC	CtBP2	None	0.950831481	0.9585541956	0.9625719547	0.1522983817	0.1721467872	0.1792074016
H1-hESC	GTF2F1	None	0.958486059	0.9660448994	0.9666544705	0.2061245646	0.233855773	0.2262477328
H1-hESC	JunD	None	0.949495575	0.963394935	0.9668638855	0.2191328697	0.2781016907	0.2990592202
H1-hESC	MafK	None	0.970228644	0.9685842845	0.9765850051	0.3371714553	0.3588718885	0.3934315848
H1-hESC	Max	None	0.946810238	0.9635798771	0.9664236995	0.2344474848	0.2944497002	0.3094495485
H1-hESC	Mxi1	None	0.968895137	0.975403812	0.9782577233	0.218558087	0.2737178374	0.2802870509
H1-hESC	Nrf1	None	0.99285262	0.9931634923	0.9925734017	0.3950084296	0.4902688135	0.4564230619
H1-hESC	Rad21	None	0.980032382	0.9838506649	0.985781192	0.618603579	0.6559008123	0.6713280058
H1-hESC	RFX5	None	0.8494893	0.8804005493	0.8925887033	0.0285155969	0.0278858979	0.0359254058
H1-hESC	SIN3A	None	0.94653831	0.9576579558	0.9603577545	0.3634725128	0.397430396	0.4068450576
H1-hESC	SUZ12	None	0.977584734	0.9809174269	0.9830808211	0.2515550019	0.2825105878	0.2867290899
H1-hESC	TBP	None	0.957975186	0.9635167782	0.9653996297	0.3928260042	0.4221970565	0.4209023557
H1-hESC	USF2	None	0.983206523	0.9859779391	0.988311348	0.3673398732	0.4279736785	0.447742214
H1-hESC	Znf143	None	0.95304759	0.9628309618	0.9651070442	0.5379671251	0.5998517928	0.6057938599
HCT-116	Pol2	None	0.954535075	0.9553844795	0.9575439011	0.4872009004	0.5096186544	0.5058050742
HCT-116	TCF7L2	None	0.898262337	0.9110015747	0.915173472	0.2236575237	0.2502711742	0.253583038
HEK293	ELK4	None	0.896890814	0.8949537497	0.9060050672	0.1974080417	0.1544068435	0.1667740292
HEK293	KAP1	None	0.817216556	0.8387503714	0.8463625764	0.1122810792	0.1447726327	0.1482025248
HEK293	Pol2	None	0.99142818	0.9935264042	0.9926183504	0.5293071082	0.5733229236	0.5716214687
HEK293	TCF7L2	None	0.86299402	0.8763973093	0.8943416215	0.0695423682	0.0818942513	0.1012377408
HEK293-T-REx	ZNF263	None	0.873951723	0.879532693	0.884966736	0.2362858771	0.2456102544	0.2562754494
HeLa-S3	AP-2alpha	None	0.901188029	0.9269345527	0.9319740321	0.1953882299	0.2534146393	0.2657225957
HeLa-S3	AP-2gamma	None	0.897349879	0.921372763	0.9266156025	0.2296593833	0.2796171616	0.2925320269
HeLa-S3	BAF155	None	0.909466684	0.9207932953	0.9240407605	0.1469075408	0.1725206361	0.1783457395
HeLa-S3	BAF170	None	0.928472309	0.945188657	0.9458760826	0.0701424726	0.0977072651	0.1035375933
HeLa-S3	BDP1	None	0.912300929	0.879690726	0.9181861875	0.0094745525	0.1091674489	0.0815463412
HeLa-S3	BRCA1	None	0.944826433	0.9536617187	0.9526704473	0.2264573908	0.2456885694	0.2550116687
HeLa-S3	BRF1	None	0.830668202	0.6870009289	0.6706933004	9.59E-005	0.0001540748	0.00016358
HeLa-S3	BRF2	None	0.795259425	0.8319303906	0.8180800334	0.005320839	0.1182812848	0.1172239833
HeLa-S3	Brg1	None	0.89154856	0.9069980404	0.9169661803	0.0223766101	0.0308726575	0.040570769
HeLa-S3	CEBPB	None	0.935635239	0.9405004934	0.9433734235	0.3849546469	0.3999277787	0.4104757414
HeLa-S3	c-Fos	None	0.974039806	0.9778544571	0.9786975768	0.2478384611	0.2577592611	0.2787892846
HeLa-S3	CHD2	None	0.94516379	0.9507745807	0.9511260493	0.3774504352	0.3995431913	0.4075236312
HeLa-S3	c-Jun	None	0.94977116	0.9561553047	0.9597024501	0.3220448462	0.3388049903	0.3573777223
HeLa-S3	c-Myc	None	0.954464015	0.9608111732	0.9611966987	0.2359868261	0.24782928	0.2622125745
HeLa-S3	COREST	None	0.915107288	0.928832674	0.9288165306	0.2240310212	0.2486062498	0.2548511962
HeLa-S3	E2F1	None	0.986673104	0.9875975824	0.9866971326	0.272889854	0.3112027095	0.3015962517
HeLa-S3	E2F4	None	0.969831507	0.9703142406	0.9722014953	0.1976883321	0.2348903387	0.2328930004
HeLa-S3	E2F6	None	0.971110759	0.9749493103	0.9744898384	0.2399004288	0.2669190721	0.2652919273
HeLa-S3	ELK1	None	0.974264398	0.9749144223	0.9736699672	0.4202237625	0.4584158778	0.4520580034
